SPEC,COMMONNAME,SCINAME,SPEC6,CONF6,CONF,SP,Sort Order,Order,Family,Subfamily
HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON,,,,1,Tinamiformes,Tinamidae,
GRTI,Great Tinamou,Tinamus major,TINMAJ,,,,2,Tinamiformes,Tinamidae,
LITI,Little Tinamou,Crypturellus soui,CRYSOU,,,,3,Tinamiformes,Tinamidae,
THTI,Thicket Tinamou,Crypturellus cinnamomeus,CRYCIN,,,,4,Tinamiformes,Tinamidae,
SBTI,Slaty-breasted Tinamou,Crypturellus boucardi,CRYBOU,,,,5,Tinamiformes,Tinamidae,
CHTI,Choco Tinamou,Crypturellus kerriae,CRYKER,,,,6,Tinamiformes,Tinamidae,
WFWD,White-faced Whistling-Duck,Dendrocygna viduata,DENVID,,,,7,Anseriformes,Anatidae,Dendrocygninae
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT,,,,8,Anseriformes,Anatidae,Dendrocygninae
WIWD,West Indian Whistling-Duck,Dendrocygna arborea,DENARB,,,,9,Anseriformes,Anatidae,Dendrocygninae
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC,,,,10,Anseriformes,Anatidae,Dendrocygninae
TABG,Taiga Bean-Goose,Anser fabalis,ANSFAB,,,,11,Anseriformes,Anatidae,Anserinae
TUBG,Tundra Bean-Goose,Anser serrirostris,ANSSER,,,,12,Anseriformes,Anatidae,Anserinae
PFGO,Pink-footed Goose,Anser brachyrhynchus,ANSBRA,,,,13,Anseriformes,Anatidae,Anserinae
GWFG,Greater White-fronted Goose,Anser albifrons,ANSALB,,,,14,Anseriformes,Anatidae,Anserinae
LWFG,Lesser White-fronted Goose,Anser erythropus,ANSERY,,,,15,Anseriformes,Anatidae,Anserinae
GRGO,Graylag Goose,Anser anser,ANSANS,,,,16,Anseriformes,Anatidae,Anserinae
EMGO,Emperor Goose,Chen canagica,CHECAN,,,,17,Anseriformes,Anatidae,Anserinae
SNGO,Snow Goose,Chen caerulescens,CHECAE,,,,18,Anseriformes,Anatidae,Anserinae
LSGW,Lesser Snow Goose White-morph,Chen c. caerulescens,CHECCA,,,+,19,Anseriformes,Anatidae,Anserinae
LSGI,Lesser Snow Goose Intermediate-morph,Chen c. caerulescens,CHECCA,,,+,20,Anseriformes,Anatidae,Anserinae
LSGB,Lesser Snow Goose Blue-morph,Chen c. caerulescens,CHECCA,,,+,21,Anseriformes,Anatidae,Anserinae
GSGW,Greater Snow Goose White-morph,Chen c. atlantica,CHECAT,,,+,22,Anseriformes,Anatidae,Anserinae
GSGI,Greater Snow Goose Intermediate-morph,Chen c. atlantica,CHECAT,,,+,23,Anseriformes,Anatidae,Anserinae
GSGB,Greater Snow Goose Blue-morph,Chen c. atlantica,CHECAT,,,+,24,Anseriformes,Anatidae,Anserinae
SRGH,Snow X Ross's Goose Hybrid,Chen caerul. x rossii,CHECAR,,,+,25,Anseriformes,Anatidae,Anserinae
ROGO,Ross's Goose,Chen rossii,CHEROS,,,,26,Anseriformes,Anatidae,Anserinae
BRAN,Brant,Branta bernicla,BRABER,,,,27,Anseriformes,Anatidae,Anserinae
ATBR,Atlantic Brant,Branta b. bernicla,BRABBE,,,+,28,Anseriformes,Anatidae,Anserinae
BRIN,Brant Intergrade,Branta b. bern. x nigri.,BRABBN,,,+,29,Anseriformes,Anatidae,Anserinae
BLBR,Black Brant,Branta b. nigricans,BRABNI,,,+,30,Anseriformes,Anatidae,Anserinae
BARG,Barnacle Goose,Branta leucopsis,BRALEU,,*,,31,Anseriformes,Anatidae,Anserinae
CACG,Cackling Goose,Branta hutchinsii,BRAHUT,,*,,32,Anseriformes,Anatidae,Anserinae
ACGO,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE,,,+,33,Anseriformes,Anatidae,Anserinae
MCGO,Minima Cackling Goose,Branta h. minima,BRAHMI,,,+,34,Anseriformes,Anatidae,Anserinae
CANG,Canada Goose,Branta canadensis,BRACAN,,*,,35,Anseriformes,Anatidae,Anserinae
LCGO,Large Canada Goose,Branta c. moffitti,BRACMO,,,+,36,Anseriformes,Anatidae,Anserinae
SCGO,Small Canada Goose,Branta c. parvipes,BRACPA,,,+,37,Anseriformes,Anatidae,Anserinae
HAGO,Hawaiian Goose,Branta sandvicensis,BRASAN,,,,38,Anseriformes,Anatidae,Anserinae
MUSW,Mute Swan,Cygnus olor,CYGOLO,,,,39,Anseriformes,Anatidae,Anserinae
TRUS,Trumpeter Swan,Cygnus buccinator,CYGBUC,,*,,40,Anseriformes,Anatidae,Anserinae
TUSW,Tundra Swan,Cygnus columbianus,CYGCOL,,,,41,Anseriformes,Anatidae,Anserinae
WHSW,Whistling Swan,Cygnus c. columbianus,CYGCCO,,,+,42,Anseriformes,Anatidae,Anserinae
BESW,Bewick's Swan,Cygnus c. bewickii,CYGCBE,,,+,43,Anseriformes,Anatidae,Anserinae
