US-AK,United States,US,Alaska
US-AL,United States,US,Alabama
US-AR,United States,US,Arkansas
US-AZ,United States,US,Arizona
US-CA,United States,US,California
US-CO,United States,US,Colorado
US-CT,United States,US,Connecticut
US-DC,United States,US,District of Columbia
US-DE,United States,US,Delaware
US-FL,United States,US,Florida
US-GA,United States,US,Georgia
US-HI,United States,US,Hawaii
US-IA,United States,US,Iowa
US-ID,United States,US,Idaho
US-IL,United States,US,Illinois
US-IN,United States,US,Indiana
US-KS,United States,US,Kansas
US-KY,United States,US,Kentucky
US-LA,United States,US,Louisiana
US-MA,United States,US,Massachusetts
US-MD,United States,US,Maryland
US-ME,United States,US,Maine
US-MI,United States,US,Michigan
US-MN,United States,US,Minnesota
US-MO,United States,US,Missouri
US-MS,United States,US,Mississippi
US-MT,United States,US,Montana
US-NC,United States,US,North Carolina
US-ND,United States,US,North Dakota
US-NE,United States,US,Nebraska
US-NH,United States,US,New Hampshire
US-NJ,United States,US,New Jersey
US-NM,United States,US,New Mexico
US-NV,United States,US,Nevada
US-NY,United States,US,New York
US-OH,United States,US,Ohio
US-OK,United States,US,Oklahoma
US-OR,United States,US,Oregon
US-PA,United States,US,Pennsylvania
US-RI,United States,US,Rhode Island
US-SC,United States,US,South Carolina
US-SD,United States,US,South Dakota
US-TN,United States,US,Tennessee
US-TX,United States,US,Texas
US-UT,United States,US,Utah
US-VA,United States,US,Virginia
US-VT,United States,US,Vermont
US-WA,United States,US,Washington
US-WI,United States,US,Wisconsin
US-WV,United States,US,West Virginia
US-WY,United States,US,Wyoming
